"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"GBM_grid_1_AutoML_1_20250326_214224_model_20",0.39652241243563935,0.7757492474806962,0.4974992163055983,0.28649391440910876,0.3491309865141354,0.1218924457443334
"GBM_grid_1_AutoML_1_20250326_214224_model_11",0.3976526339024468,0.7627993718099725,0.5028643418492991,0.30047114252061247,0.3490695658717962,0.12184956181792428
"GBM_grid_1_AutoML_1_20250326_214224_model_7",0.4053847205089671,0.7424420887318415,0.4827865079880455,0.31023753435414214,0.3518359910726357,0.12378856461406376
"GBM_grid_1_AutoML_1_20250326_214224_model_25",0.40588382446950927,0.7616084282162021,0.4773640104066001,0.3025716529250098,0.35101290203178365,0.12321005739277456
"GBM_grid_1_AutoML_1_20250326_214224_model_4",0.4085388398660327,0.7601066614317498,0.4904789954544335,0.3168138987043581,0.35310161367266485,0.12468074957823984
"GBM_grid_1_AutoML_1_20250326_214224_model_17",0.4101331865769751,0.74280853291454,0.4784237350344133,0.2878288182175108,0.352949105567389,0.1245730711208199
"GBM_grid_1_AutoML_1_20250326_214224_model_24",0.4110117324630446,0.7403971993194608,0.4751366732424894,0.3062720848056537,0.35426932175202014,0.12550675233463637
"GBM_grid_1_AutoML_1_20250326_214224_model_2",0.41188325249613195,0.741182436853815,0.46715522844592855,0.2960836277974087,0.3535467350761172,0.12499529388298222
"GBM_grid_1_AutoML_1_20250326_214224_model_9",0.4137755369687954,0.7456353880382149,0.4881264517272721,0.3092363564978406,0.35348743385635645,0.12495336589435198
"DeepLearning_1_AutoML_1_20250326_214224",0.41698920181318216,0.7631036513545347,0.4428454929307474,0.27605025520219867,0.3563358463474196,0.12697523539213182
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_6",0.41774181723275905,0.7716627404789949,0.5200191537987578,0.29812524538672946,0.33754118730981686,0.11393405313052088
"DeepLearning_grid_3_AutoML_1_20250326_214224_model_9",0.4178178729472973,0.7714991493260044,0.5306438116327006,0.30552610914801726,0.34594178644189716,0.11967571960661116
"GBM_grid_1_AutoML_1_20250326_214224_model_3",0.4239323081597171,0.7466692841251145,0.4353821543683977,0.31091480172752256,0.35840001172864727,0.12845056840709448
"DeepLearning_grid_2_AutoML_1_20250326_214224_model_9",0.4244596592909235,0.7758474021724905,0.526359458010142,0.279760502552022,0.3451729651565311,0.11914437587495184
"GBM_grid_1_AutoML_1_20250326_214224_model_22",0.4267984765917289,0.7369650569297211,0.460408146262288,0.31588142913231254,0.35937382733428425,0.12914954777289195
"GBM_grid_1_AutoML_1_20250326_214224_model_1",0.4290641630769711,0.7598089255333071,0.4670789434007415,0.2901845308205732,0.36191038769225,0.1309791287195547
"DeepLearning_grid_3_AutoML_1_20250326_214224_model_6",0.43088411183372,0.7525291192252324,0.5031121738796216,0.2962701217118178,0.34903227148584903,0.12182352653857144
"GBM_grid_1_AutoML_1_20250326_214224_model_10",0.43628288915019225,0.7361765475723073,0.45832949299801745,0.3302021986650962,0.36138537322799175,0.1305993879831349
"GBM_4_AutoML_1_20250326_214224",0.4365158262267611,0.7631429132312524,0.4738011493583234,0.29112681586179817,0.3595891762318552,0.12930437566310424
"GBM_3_AutoML_1_20250326_214224",0.4384230132803995,0.7493194608035597,0.4708449413225855,0.2943953670985473,0.36007938646780224,0.12965716455902887
"GBM_2_AutoML_1_20250326_214224",0.4402103707135637,0.7342363564978406,0.4515011015048198,0.32531409501374164,0.36148427923906584,0.1306708841369869
"GBM_5_AutoML_1_20250326_214224",0.4405082603023725,0.7235538542075645,0.4438692155635354,0.3177071063996859,0.3616944466561467,0.1308228727418962
"GBM_grid_1_AutoML_1_20250326_214224_model_23",0.44067841259735147,0.7513741656851197,0.46988586039663016,0.3112485276796231,0.3601092879593372,0.12967869927458084
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_7",0.4407621331814475,0.7899980369061642,0.5169752389007305,0.27311542991755006,0.34743178019881826,0.12070884189211996
"GBM_grid_1_AutoML_1_20250326_214224_model_5",0.44342246002335456,0.7396250490773459,0.4625269297819634,0.3102277188849627,0.35956211856948767,0.1292849171101783
"DeepLearning_grid_2_AutoML_1_20250326_214224_model_6",0.4460843675626831,0.7674519042010208,0.5303982461198439,0.271181782489203,0.3599696468082448,0.1295781466232525
"GBM_grid_1_AutoML_1_20250326_214224_model_12",0.4529468116261197,0.7359475199581207,0.4403173011271392,0.30516293678837847,0.3638069901621315,0.13235552609082926
"DeepLearning_grid_3_AutoML_1_20250326_214224_model_2",0.4558059982208026,0.7945655018976574,0.5679761112896397,0.282979976442874,0.34141343089396936,0.11656313079479118
"DeepLearning_grid_2_AutoML_1_20250326_214224_model_7",0.45670779096586295,0.7681913362125377,0.5118017078647296,0.29829210836277975,0.36102548562391423,0.1303394012699831
"DeepLearning_grid_3_AutoML_1_20250326_214224_model_5",0.45712699342325536,0.7745517602408062,0.525703777550233,0.2790047114252061,0.34198458971255474,0.1169534596008644
"DeepLearning_grid_2_AutoML_1_20250326_214224_model_2",0.4585293361231889,0.7712733935348777,0.49113970506184473,0.2961719670200236,0.3523457849901982,0.12414755220035896
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_2",0.4598783313718535,0.7600215940321947,0.5013461651625049,0.29980369061641143,0.3488534860014634,0.1216987546953732
"GBM_grid_1_AutoML_1_20250326_214224_model_13",0.4639616252845256,0.7214860620337652,0.42663548850422184,0.31702983902630544,0.3675307029537351,0.13507881761366664
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_10",0.46593127521999456,0.7774047899489596,0.51981073701504,0.3166470357283078,0.351311814344583,0.12341999089808274
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_8",0.466426386922421,0.7682076953278367,0.460933846260144,0.29135257165292505,0.361400327183066,0.13061019648802713
"DRF_1_AutoML_1_20250326_214224",0.4674785504408284,0.748544038738385,0.4476160958645328,0.295239497447978,0.37304108185312507,0.13915964875014997
"DeepLearning_grid_2_AutoML_1_20250326_214224_model_5",0.4743491815715392,0.7734949613924879,0.5003540308183968,0.25804868472712994,0.35089531200893315,0.12312751998984652
"DeepLearning_grid_1_AutoML_1_20250326_214224_model_9",0.47620892255870406,0.7622398900667452,0.507346014072792,0.3111700039261877,0.3631298299885162,0.13186327342748866
