"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_12",0.4786690342257894,0.7554214108101034,0.48845928383486414,0.3110031409501374,0.36195650021962217,0.13101250805123735
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_8",0.4870140929811885,0.7715678576102605,0.518239901962337,0.2945818610129564,0.34401961425211836,0.1183494949901763
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_4",0.48764782733724826,0.7974348907211098,0.5357125442430538,0.29423831959167646,0.3551684614502634,0.12614463600894724
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_4",0.49070955424096974,0.780787854992802,0.47616980204778303,0.275137416568512,0.3562988688915594,0.12694888397340462
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_11",0.4911845113184787,0.7268093181520744,0.456387441061645,0.3150274833137024,0.35673381168374957,0.1272590123984169
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_10",0.5020249086310218,0.7755005889281508,0.4875501444996047,0.3116705928543384,0.358187089364612,0.12829799098749256
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_11",0.5056209658728272,0.75496662740479,0.46391972525412056,0.28117393011385944,0.35662541303160517,0.12718168521996298
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_12",0.5172567240866963,0.7511942154168303,0.4594326342235051,0.30440714566156263,0.3648538101040453,0.13311830274743872
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_3",0.5189295625048714,0.7332678968721372,0.445099958139741,0.30653710247349825,0.3581845646213957,0.1282961823330188
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_12",0.520987743061967,0.7391146446800156,0.412511672454093,0.3186395759717314,0.3745900002418987,0.1403176682812257
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_1",0.5353462706611972,0.7659010600706714,0.4989431613881176,0.28960541813898705,0.35164273531292517,0.12365261329835596
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_3",0.5353988024741397,0.7573157963617327,0.4906466476661297,0.315547703180212,0.35222202182313006,0.12406035265717352
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_16",0.6243598585369953,0.7540341578327443,0.478914155512886,0.2904593639575972,0.36067292374347726,0.13008495792166816
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_1",0.6382606231265615,0.7209004057060595,0.43734882618563625,0.316215155084413,0.3607241466810194,0.1301219099987496
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_4",0.6997834158455114,0.7597107708415128,0.4276120078482513,0.31527287004318805,0.38128096485299695,0.1453751741592323
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_16",0.9054241977390995,0.7436166732103128,0.4485961847152712,0.320838241067923,0.3867235557927378,0.14955510860497878
