"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20250318_133320",0.5399144547966663,0.7984567901234568,0.8155961649870008,0.26666666666666666,0.4261716156820274,0.18162224601302965
"StackedEnsemble_BestOfFamily_1_AutoML_1_20250318_133320",0.5701259241127759,0.7673148148148149,0.8000704261707319,0.2777777777777778,0.440867352514524,0.1943640225131655
"GBM_grid_1_AutoML_1_20250318_133320_model_9",0.5828434128279041,0.7539506172839506,0.7704097321069477,0.3861111111111111,0.44631691825655856,0.1991987915220316
"GLM_1_AutoML_1_20250318_133320",0.5832813847994188,0.7704938271604939,0.7707889143011386,0.2888888888888889,0.4427397552954641,0.19601849091908743
"GBM_grid_1_AutoML_1_20250318_133320_model_10",0.587835535473051,0.7503395061728395,0.7663162897031139,0.3888888888888889,0.4492222882279374,0.20180066424074417
"GBM_grid_1_AutoML_1_20250318_133320_model_3",0.5922650324843449,0.7483024691358026,0.7688575577411463,0.35,0.4507340315916973,0.2031611672349052
"GBM_2_AutoML_1_20250318_133320",0.5971555779246336,0.7424382716049382,0.7696289986033231,0.34444444444444444,0.4525700003895435,0.20481960525259135
"GBM_grid_1_AutoML_1_20250318_133320_model_11",0.6012898541043225,0.7469753086419753,0.765074995157838,0.29444444444444445,0.45432337347460067,0.2064097276853415
"GBM_grid_1_AutoML_1_20250318_133320_model_4",0.6025283594090085,0.7326851851851851,0.7669462445772323,0.37777777777777777,0.4563700531800425,0.2082736254395548
"GBM_3_AutoML_1_20250318_133320",0.6041403644302877,0.7354629629629629,0.7732350353135156,0.41666666666666663,0.45665960400444583,0.2085379939294973
"GBM_grid_1_AutoML_1_20250318_133320_model_5",0.6043792771622193,0.7365740740740742,0.7668478458012761,0.3888888888888889,0.4566315829999857,0.20851240259307283
"GBM_4_AutoML_1_20250318_133320",0.6053815476328771,0.7323765432098766,0.7622058227267773,0.3944444444444445,0.4574320778439059,0.2092441058405932
"GBM_grid_1_AutoML_1_20250318_133320_model_1",0.6066328016106943,0.7229012345679013,0.7628747475172537,0.3472222222222222,0.4589409193719234,0.2106267674739462
"GBM_grid_1_AutoML_1_20250318_133320_model_7",0.6091699275912978,0.7224382716049382,0.7552093869529046,0.3944444444444444,0.45921054105359854,0.2108743210147387
"DRF_1_AutoML_1_20250318_133320",0.6169806691536689,0.7117901234567902,0.7256700559332442,0.39166666666666666,0.46381475032131664,0.21512412261562527
"GBM_grid_1_AutoML_1_20250318_133320_model_13",0.6212156272973316,0.730895061728395,0.7344272570270314,0.3111111111111111,0.4627768363528555,0.2141624002647576
"GBM_grid_1_AutoML_1_20250318_133320_model_2",0.6298951163257699,0.7018518518518518,0.7301965498567445,0.425,0.46879342893728576,0.219767279014778
"XRT_1_AutoML_1_20250318_133320",0.6315722549908332,0.6931172839506172,0.7150894594695344,0.4722222222222222,0.47046372616218424,0.22133611763440664
"GBM_grid_1_AutoML_1_20250318_133320_model_8",0.6316756865419623,0.7148148148148148,0.7285033351217436,0.3555555555555555,0.4668113947642485,0.21791287828174305
"GBM_1_AutoML_1_20250318_133320",0.6343503410778183,0.7058179012345679,0.7179402242260813,0.3333333333333333,0.47062361454733415,0.22148658656959777
"GBM_grid_1_AutoML_1_20250318_133320_model_6",0.6380376598439997,0.7036265432098765,0.7174829346891411,0.3611111111111112,0.4724732358418692,0.22323095858688655
"GBM_grid_1_AutoML_1_20250318_133320_model_12",0.638115608177251,0.7029012345679012,0.7344379330126023,0.4777777777777778,0.4710662514996235,0.22190341330190655
"GBM_5_AutoML_1_20250318_133320",0.640410794121618,0.6997222222222222,0.7344683377111284,0.4722222222222222,0.47346048521698064,0.22416483106189872
"DeepLearning_grid_2_AutoML_1_20250318_133320_model_14",0.7032019371068601,0.7813888888888889,0.8103047639704285,0.32222222222222224,0.47087963772395736,0.2217276332230453
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_1",0.807734108998172,0.7842592592592592,0.7816236471318483,0.2777777777777778,0.4739027476540338,0.2245838142340428
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_14",0.8186601495891099,0.7477777777777778,0.761553996424496,0.4027777777777778,0.48556619284184827,0.23577452763092696
"DeepLearning_grid_3_AutoML_1_20250318_133320_model_14",0.8191369809912713,0.7536111111111111,0.7709930452199459,0.3194444444444444,0.4966904171626114,0.24670137050116897
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_7",0.8291395285239994,0.7396913580246913,0.7563444824517427,0.34444444444444444,0.4957535525039339,0.24577158482027073
"DeepLearning_grid_2_AutoML_1_20250318_133320_model_13",0.8382694364877938,0.801604938271605,0.8276848654011307,0.25,0.4647376224157532,0.21598105768864717
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_8",0.8602878843334139,0.7619135802469136,0.7806202940138961,0.3611111111111111,0.4887193341660502,0.2388465875877074
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_13",0.968228408152108,0.7703395061728394,0.7757035855189249,0.28055555555555556,0.4862867139790563,0.2364747681925485
"DeepLearning_1_AutoML_1_20250318_133320",0.9798167343861012,0.603858024691358,0.6328851626423808,0.4722222222222222,0.5537874410874014,0.3066805299061321
"DeepLearning_grid_1_AutoML_1_20250318_133320_model_10",0.9862266750361746,0.7599074074074074,0.7678061624242152,0.3027777777777778,0.5028040245246009,0.25281188707813546
"DeepLearning_grid_2_AutoML_1_20250318_133320_model_7",1.0002996990491748,0.7027777777777777,0.7061134714143104,0.3972222222222222,0.5217037845796713,0.2721748388447521
