EducationField,accuracy,selection_rate,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,balanced_accuracy
Human Resources,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334
Life Sciences,0.9213483146067416,0.1348314606741573,0.7272727272727273,0.9487179487179487,0.05128205128205128,0.2727272727272727,0.837995337995338
Marketing,0.9107142857142857,0.2857142857142857,1.0,0.8888888888888888,0.1111111111111111,0.0,0.9444444444444444
Medical,0.9264705882352942,0.08823529411764706,0.5625,0.975,0.025,0.4375,0.76875
Other,0.95,0.05,0.0,0.95,0.05,0.0,0.95
Technical Degree,0.8444444444444444,0.2,0.625,0.8918918918918919,0.10810810810810811,0.375,0.7584459459459459
