MaritalStatus,accuracy,selection_rate,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,balanced_accuracy
Divorced,0.967741935483871,0.043010752688172046,0.6,0.9886363636363636,0.011363636363636364,0.4,0.7943181818181818
Married,0.9365853658536586,0.08780487804878048,0.631578947368421,0.967741935483871,0.03225806451612903,0.3684210526315789,0.799660441426146
Single,0.8461538461538461,0.2867132867132867,0.7878787878787878,0.8636363636363636,0.13636363636363635,0.21212121212121213,0.8257575757575757
