Department,accuracy,selection_rate,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,balanced_accuracy
Human Resources,0.8,0.2,0.5,0.8461538461538461,0.15384615384615385,0.5,0.6730769230769231
Research & Development,0.9215017064846417,0.09897610921501707,0.6071428571428571,0.9547169811320755,0.045283018867924525,0.39285714285714285,0.7809299191374663
Sales,0.9097744360902256,0.23308270676691728,0.8518518518518519,0.9245283018867925,0.07547169811320754,0.14814814814814814,0.8881900768693222
